Year: 2018  Month: 01  ID: MTS  ARGOS:  8981  Name: Mount Siple         
Lat: 73.20S  Lon: 127.06W  Elev:  230m
2018  25  1 25 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  25  1 25 1800   -8.9  958.2  444.0  444.0  444.0  444.0
2018  25  1 25 2100   -8.9  958.0  444.0  444.0  444.0  444.0
2018  26  1 26 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  26  1 26 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  26  1 26 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  26  1 26 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  26  1 26 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  26  1 26 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  26  1 26 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  26  1 26 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  27  1 27 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  27  1 27 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  27  1 27 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  27  1 27 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  27  1 27 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  27  1 27 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  27  1 27 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  27  1 27 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  28  1 28 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  28  1 28 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  28  1 28 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  28  1 28 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  28  1 28 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  28  1 28 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  28  1 28 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  28  1 28 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  29  1 29 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  29  1 29 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  29  1 29 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  29  1 29 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  29  1 29 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  29  1 29 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  29  1 29 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  29  1 29 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  30  1 30 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  30  1 30 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  30  1 30 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  30  1 30 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  30  1 30 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  30  1 30 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  30  1 30 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  30  1 30 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  31  1 31 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  31  1 31 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  31  1 31 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  31  1 31 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  31  1 31 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  31  1 31 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  31  1 31 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  31  1 31 2100  444.0  444.0  444.0  444.0  444.0  444.0
