Year: 2018  Month: 01  ID: WDB  ARGOS:  9506  Name: WINDLESS BIGHT      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2018  22  1 22 0300   -5.0  976.5    2.0  122.0   99.9   -1.1
2018  22  1 22 0600   -5.4  977.8    2.2   87.8   99.9   -1.7
2018  22  1 22 0900   -7.0  978.9    2.1   69.4   99.9    0.4
2018  22  1 22 1200   -8.1  979.8    2.0   63.2   99.9   -0.2
2018  22  1 22 1500   -7.3  980.9    0.6   74.3  100.0   -0.4
2018  22  1 22 1800   -8.6  982.7    3.1  109.7  100.0   -0.6
2018  22  1 22 2100  -11.1  983.6    2.1  129.4   90.9   -0.4
2018  23  1 23 0000  -10.2  984.0    1.8   78.1   76.1   -3.6
2018  23  1 23 0300   -9.8  983.5    3.3   91.9   81.5   -3.9
2018  23  1 23 0600   -9.7  983.5    1.8   56.1   70.3    0.1
2018  23  1 23 0900   -9.9  982.6    3.7   35.3   95.2    0.0
2018  23  1 23 1200  -10.5  982.5    2.0   31.6   97.0    0.8
2018  23  1 23 1500  -10.4  981.9    0.9  150.6   93.3    0.5
2018  23  1 23 1800  -12.1  981.8    1.9  109.2   99.9   -0.5
2018  23  1 23 2100   -8.7  981.9    1.2   43.9  100.0   -0.2
2018  24  1 24 0000   -6.3  982.4    3.8   37.1  100.0   -0.2
2018  24  1 24 0300   -5.5  981.2    3.3   50.4  100.0   -0.7
2018  24  1 24 0600   -5.5  981.1    2.5   39.1   99.9   -0.6
2018  24  1 24 0900   -5.2  980.2    2.4   33.0   99.9   -0.3
2018  24  1 24 1200   -5.6  980.2    2.3  335.5   99.9   -0.7
2018  24  1 24 1500   -5.1  979.8    1.4  281.5   99.9   -0.2
2018  24  1 24 1800  444.0  980.9    0.2  250.5   99.9    0.0
2018  24  1 24 2100   -4.2  981.6    1.9  337.8   99.9   -1.4
2018  25  1 25 0000   -4.4  982.2    2.7  258.8   99.9   -1.8
2018  25  1 25 0300   -5.2  982.9    1.2   86.8  100.0   -2.0
2018  25  1 25 0600   -5.4  984.2    3.0   56.0  100.1   -3.9
2018  25  1 25 0900   -6.3  985.6    5.2   49.5  100.0   -3.5
2018  25  1 25 1200   -6.1  986.5    2.9   28.0   99.9   -1.8
2018  25  1 25 1500   -4.6  987.3    0.6  339.9   99.9   -0.2
2018  25  1 25 1800   -6.7  988.2    3.0   70.2  100.0   -2.2
2018  25  1 25 2100   -7.1  988.4    5.0   93.5   99.9   -2.2
2018  26  1 26 0000   -5.3  989.7    4.8   87.6   80.4   -0.2
2018  26  1 26 0300   -5.7  989.6    5.3   88.3   88.5   -0.3
2018  26  1 26 0600   -6.8  989.2    5.6   85.8   81.3    0.3
2018  26  1 26 0900   -8.8  988.4    5.7   88.6   80.5    0.9
2018  26  1 26 1200   -9.9  988.3    1.5   71.5   68.7    0.5
2018  26  1 26 1500  -14.2  987.3    0.6  240.6   86.4   -3.8
2018  26  1 26 1800  444.0  986.8    1.1   42.7   78.2    1.7
